excessvolumewczero,excessvolumewchange,pricechangeeffectivewchange,pricechangeeffectivewczero,,,,,,
-0.32,0.31,0.05,10,,,,,,
-0.08,0.07,2.12,54,,,,,,
-0.1,0.18,-0.02,300,,,,,,
-0.3,0.9,-1.02,45,,,,,,
-0.05,-0.31,-0.64,25.8,,,,,,
-0.09,-0.61,0.15,155,,,,,,
-0.19,-0.14,-4.45,70,,,,,,
0.61,0.46,0.4,-220,,,,,,
-0.17,0.09,-4000,-144,,,,,,
0.12,0.13,0.42,78.5,,,,,,
-0.03,-0.11,-0.04,95.5,,,,,,
-0.09,-0.06,15,62,,,,,,
-0.02,0.02,38.75,-2,,,,,,
-0.19,-0.35,0.23,16.8,,,,,,
-0.03,0.4,-8.5,30,,,,,,
-0.45,0.71,0.03,35,,,,,,
0.22,0.38,0.04,102,,,,,,
-0.03,-0.51,0.07,16,,,,,,
0.05,-0.02,0.3,44.5,,,,,,
0.09,-0.05,5.3,15,,,,,,
-0.17,0.1,33.3,51.5,,,,,,
-0.21,0.09,-0.65,6,,,,,,
0.05,0.03,0.3,-250,,,,,,
-0.12,-0.2,0.3,14.3,,,,,,
-0.15,0.63,40,735,,,,,,
-0.32,-0.12,0.3,60,,,,,,
-0.16,-0.15,-1.57,-3,,,,,,
-0.35,-0.17,1.28,-6,,,,,,
-0.07,0.4,13.65,119,,,,,,
0.05,0.03,1.32,-140,,,,,,
0.05,-0.23,0.53,-335,,,,,,
-0.03,-0.03,-0.48,-30,,,,,,
0.26,0.32,110.55,-3915,,,,,,
-0.05,-0.38,0,-27,,,,,,
-0.07,-0.01,35,-34,,,,,,
0.01,-0.34,0.03,-370,,,,,,
-0.12,0.1,-0.05,10,,,,,,
-0.1,-0.09,390,-145,,,,,,
0.08,-0.42,15,40,,,,,,
0.02,0.38,-0.1,-410,,,,,,
-0.07,-0.1,0.06,-260,,,,,,
-0.26,-0.41,0.06,348,,,,,,
-0.05,0.88,-0.4,156,,,,,,
-0.15,0.76,0.37,39.4,,,,,,
-0.1,0,-1.6,-40,,,,,,
-0.04,0.14,-150,-153,,,,,,
0.07,-0.58,-295,-120,,,,,,
-0.02,-0.11,46,16,,,,,,
-0.03,0.13,160,-23,,,,,,
0.03,0.2,93,-80,,,,,,
-0.07,0.56,-46,-34,,,,,,
-0.11,0.17,-0.32,315,,,,,,
-0.06,1.06,120,-95,,,,,,
-0.25,0.39,158,130,,,,,,
0.22,0.19,-2.75,-224,,,,,,
0.45,-0.42,0.08,-12.7,,,,,,
0.1,0.28,12.52,-110,,,,,,
-0.42,0.04,-0.21,270,,,,,,
-0.05,-0.17,0.22,-79,,,,,,
-0.14,0.38,2.58,-352,,,,,,
0.37,-0.3,-2.5,240,,,,,,
0.04,-0.15,-0.03,17.1,,,,,,
-0.16,0.01,-0.05,20,,,,,,
0.04,-0.14,0.84,-600,,,,,,
-0.02,0.42,141,175,,,,,,
0.01,0.33,4,181,,,,,,
-0.2,-0.36,93,6,,,,,,
-0.17,-0.3,0,34,,,,,,
-0.04,-0.06,10.7,26.5,,,,,,
-0.26,0.33,-59,138,,,,,,
-0.02,-0.32,-2.55,-14,,,,,,
-0.5,0.05,0.1,8,,,,,,
0.43,0.03,60,1820,,,,,,
-0.09,-0.09,67,600,,,,,,
-0.03,-0.07,-4.62,20,,,,,,
-0.14,-0.09,0.51,-35,,,,,,
0.11,-0.19,75,-255,,,,,,
0.2,-0.31,-0.09,99,,,,,,
-0.27,0.07,-100,-1350,,,,,,
0.28,0.47,-1.8,-508,,,,,,
-0.33,0.21,22.3,-130,,,,,,
0.43,0.23,0.26,176,,,,,,
-0.05,0.05,45,92,,,,,,
-0.08,-0.37,-0.05,115,,,,,,
0,-0.46,-0.54,23,,,,,,
-0.1,-0.1,30,93,,,,,,
0.09,-0.29,0.02,137,,,,,,
-0.04,0.07,-50,141.5,,,,,,
0.31,-0.15,1.7,46,,,,,,
0.01,0.4,-30,197,,,,,,
-0.05,0.01,1.38,186,,,,,,
0.04,0.08,0,-101,,,,,,
-0.22,0.23,-1.8,-130,,,,,,
0.06,-0.28,-1.46,-30,,,,,,
